Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
60389,"Hafiz","","","Even <br/>After <br/>All this time<br/>The Sun never says to the Earth,<br/><br/>""You owe me.""<br/><br/>Look<br/>What happens<br/>With a love like that,<br/>It lights the whole sky.","life, love, sky, sun",1866,1
59189,"W.H. Auden","","","How should we like it were stars to burn<br/>With a passion for us we could not return?<br/>If equal affection cannot be,<br/>Let the more loving one be me.","",180,2
95915,"Rainer Maria Rilke","","","Let everything happen to you<br/>Beauty and terror<br/>Just keep going<br/>No feeling is final","enjoy-life, fearlessness, live-in-the-moment",2125,3
22617,"Dr. Seuss","","","You can get help from teachers, but you are going to have to learn a lot by yourself, sitting alone in a room.","",1765,4
70884,"John Dewey","","","Failure is instructive.  The person who really thinks learns quite as much from his failures as from his successes.","experience, learning-from-mistakes, mistakes, wisdom",68,5
4075,"John Dewey","Reconstruction in Philosophy","0486434389","Scientific principles and laws do not lie on the surface of nature.  They are hidden, and must be wrested from nature by an active and elaborate technique of inquiry. ","nature, science",36,6
588785,"John Dewey","","","The good man is the man who, no matter how morally unworthy he has been, is moving to become better.","",29,7
52073,"Ernest Hemingway","","","The first draft of anything is shit.","writing",2880,8
12527,"Hemingway, Ernest","","","I drink to make other people more interesting.","drinking",2508,9
684634,"Daniel Kahneman","Thinking, Fast and Slow","0374275637","A general “law of least effort” applies to cognitive as well as physical<br/>exertion. The law asserts that if there are several ways of achieving the<br/>same goal, people will eventually gravitate to the least demanding course<br/>of action. In the economy of action, effort is a cost, and the acquisition of<br/>skill is driven by the balance of benefits and costs. Laziness is built deep into our nature.","",38,10
7038,"Sylvia Plath","The Unabridged Journals of Sylvia Plath","0385720254","Kiss me, and you will see how important I am.","importance, kiss, kissing",5597,11
471936,"Friedrich Nietzsche","","","To live is to suffer, to survive is to find some meaning in the suffering.","",184,12
511882,"William Faulkner","The Sound and the Fury","0679732241","I say money has no value; it's just the way you spend it.","money",41,13
131232,"Oscar Wilde","","","I won't tell you that the world matters nothing, or the world's voice, or the voice of society. They matter a good deal. They matter far too much. But there are moments when one has to choose between living one's own life, fully, entirely, completely—or dragging out some false, shallow, degrading existence that the world in its hypocrisy demands. You have that moment now. Choose!","choices, crowd, individuality, life",450,14
230859,"Walker Evans","","","Stare, pry, listen, eavesdrop. Die knowing something. You are not here long.","",1989,15
959236,"Selma Lagerlöf","","","Nothing on earth can make up for the loss of one who has loved you.","",2473,16
5244,"Kate Chopin","The Awakening, and Selected Stories","0394326679","Perhaps it is better to wake up after all, even to suffer, rather than to remain a dupe to illusions all one's life.","",1238,17
572728,"David Lipsky","Although Of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace","030759243X","David Foster Wallace:  I think one of the insidious lessons about TV is the meta-lesson that you’re dumb.  This is all you can do.  This is easy, and you’re the sort of person who really just wants to sit in a chair and have it easy. When in fact there are parts of us, in a way, that are a lot more ambitious than that. And what we need, I think—and I’m not saying I’m the person to do it. But I think what we need is seriously engaged art, that can teach again that we’re smart. And that there’s stuff that TV and movies—although they’re great at certain things—cannot give us.","",14,18
585315,"David Lipsky","Although Of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace","030759243X","And I think that the ultimate way you and I get lucky is if you have some success early in life, you get to find out early it doesn't mean anything. Which means you get to start early the work of figuring out what does mean something -- David Foster Wallace","",12,19
572725,"David Lipsky","Although Of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace","030759243X","David Foster Wallace:  What writers have is a license and also the freedom to sit—to sit, clench their fists, and make themselves be excruciatingly aware of the stuff that we’re mostly aware of only on a certain level. And that if the writer does his job right, what he basically does is remind the reader of how smart the reader is. Is to wake the reader up to stuff that the reader’s been aware of all the time. And it’s not a question of the writer having more capacity than the average person. It’s that the writer is willing I think to cut off, cut himself off from certain stuff, and develop…and just, and think really hard. Which not everybody has the luxury to do.","",9,20
717,"Rainer Maria Rilke","","","Be patient toward all that is unsolved in your heart and try to love the questions themselves, like locked rooms and like books that are now written in a very foreign tongue. Do not now seek the answers, which cannot be given you because you would not be able to live them. And the point is, to live everything. Live the questions now. Perhaps you will then gradually, without noticing it, live along some distant day into the answer.","ambiguity, virtue",3165,21
48949,"Rainer Maria Rilke","The Selected Poetry of Rainer Maria Rilke","0679722017","For one human being to love another human being: that is perhaps the most difficult task that has been given to us, the ultimate, the final problem and proof, the work for which all other work is merely preparation.","love",704,22
